,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
943,10024,AV3KlKpU-R03vmj0O2ZH,parking_record_index_v2,101a0d0100b8,2017-08-10T05:18:46.867Z,2017-08-10T05:18:46.000Z,312,fcffff0706ffedffe1fe24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-90.0,25.8,1502342326.0,0.867,-250,-19,-287,381.0905404231388,36,2017-08-10 13:18:46,-0.22058823529411598,-4.3235294117647065,-0.1029411764706083,
944,10023,AV3KlL-I-R03vmj0O2ZX,parking_record_index_v2,101a0d0100b8,2017-08-10T05:18:52.295Z,2017-08-10T05:18:51.000Z,313,fcffff0703fff0ffe4fe24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-89.0,23.8,1502342331.0,1.295,-253,-16,-284,380.6849090783609,36,2017-08-10 13:18:51,-3.220588235294116,-1.3235294117647065,2.8970588235293917,
945,10022,AV3KlNe6-R03vmj0O2Z0,parking_record_index_v2,101a0d0100b8,2017-08-10T05:18:58.489Z,2017-08-10T05:18:57.000Z,314,fcffff0705fff5ffe3fe24,yilan,宜蘭市中山路二段,1008,10.5.151.1,-73.0,24.5,1502342337.0,1.489,-251,-11,-285,379.93025675773697,36,2017-08-10 13:18:57,-1.220588235294116,3.6764705882352935,1.8970588235293917,
946,10020,AV3KlQWe-R03vmj0O2ad,parking_record_index_v2,101a0d0100b8,2017-08-10T05:19:10.237Z,2017-08-10T05:19:09.000Z,316,fcffff0708fff2ffdffe24,yilan,宜蘭市中山路二段,1008,10.5.180.50,-135.5,-14.5,1502342349.0,1.237,-248,-14,-289,381.0787320226622,36,2017-08-10 13:19:09,1.779411764705884,0.6764705882352935,-2.1029411764706083,
948,10019,AV3KlRGh-R03vmj0O2as,parking_record_index_v2,101a0d0100b8,2017-08-10T05:19:13.312Z,2017-08-10T05:19:12.000Z,317,fcffff0708fff3ffdefe23,yilan,宜蘭市中山路二段,1008,10.5.151.1,-70.0,27.5,1502342352.0,1.3119999999999998,-248,-13,-290,381.8023048647035,35,2017-08-10 13:19:12,1.779411764705884,1.6764705882352935,-3.1029411764706083,
949,10018,AV3KlSkF-R03vmj0O2bB,parking_record_index_v2,101a0d0100b8,2017-08-10T05:19:19.300Z,2017-08-10T05:19:18.000Z,319,fcffff0707fff5ffe2fe23,yilan,宜蘭市中山路二段,1008,10.5.151.1,-70.0,28.0,1502342358.0,1.3,-249,-11,-286,379.36525934776887,35,2017-08-10 13:19:18,0.779411764705884,3.6764705882352935,0.8970588235293917,
950,10017,AV3KlTQu-R03vmj0O2bR,parking_record_index_v2,101a0d0100b8,2017-08-10T05:19:22.157Z,2017-08-10T05:19:21.000Z,320,fcffff0705fff6ffe4fe23,yilan,宜蘭市中山路二段,1008,10.5.151.1,-68.0,28.8,1502342361.0,1.157,-251,-10,-284,379.1530034168264,35,2017-08-10 13:19:21,-1.220588235294116,4.6764705882352935,2.8970588235293917,
951,10015,AV3KlUCe-R03vmj0O2bm,parking_record_index_v2,101a0d0100b8,2017-08-10T05:19:25.341Z,2017-08-10T05:19:24.000Z,321,fcffff0704fff5ffe4fe23,yilan,宜蘭市中山路二段,1008,10.5.151.1,-71.0,28.0,1502342364.0,1.341,-252,-11,-284,379.84338878016564,35,2017-08-10 13:19:24,-2.220588235294116,3.6764705882352935,2.8970588235293917,
953,10014,AV3KlVEZ-R03vmj0O2by,parking_record_index_v2,101a0d0100b8,2017-08-10T05:19:29.560Z,2017-08-10T05:19:27.000Z,322,fcffff0704fff0ffe4fe23,yilan,宜蘭市中山路二段,1008,10.5.151.1,-67.0,23.8,1502342367.0,2.56,-252,-16,-284,380.0210520484359,35,2017-08-10 13:19:27,-2.220588235294116,-1.3235294117647065,2.8970588235293917,
954,10013,AV3KlVgH-R03vmj0O2b8,parking_record_index_v2,101a0d0100b8,2017-08-10T05:19:31.334Z,2017-08-10T05:19:30.000Z,323,fcffff0706ffeeffe1fe23,yilan,宜蘭市中山路二段,1008,10.5.151.1,-65.0,23.0,1502342370.0,1.334,-250,-18,-287,381.04199243652926,35,2017-08-10 13:19:30,-0.22058823529411598,-3.3235294117647065,-0.1029411764706083,
