,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4063,4063,AV3LXqib-R03vmj0PFpd,parking_record_index_v2,101a0d0101e4,2017-08-10T08:59:24.698Z,2017-08-10T08:59:24.000Z,4229,fcffff070cfea6ff220122,yilan,宜蘭市中山路二段,1016,192.168.88.113,-85.8,-0.8,1502355564.0,0.698,-500,-90,290,584.9786320883866,34,2017-08-10 16:59:24,1.7857142857142776,10.547619047619051,14.285714285714278,17.84720358310963
4065,4065,AV3LXr_2-R03vmj0PFpu,parking_record_index_v2,101a0d0101e4,2017-08-10T08:59:30.677Z,2017-08-10T08:59:30.000Z,4231,fcffff070bfea9ff230122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-82.0,25.5,1502355570.0,0.677,-501,-87,291,585.8762668004226,34,2017-08-10 16:59:30,0.7857142857142776,13.547619047619051,15.285714285714278,20.440361787959517
4066,4066,AV3LXsuz-R03vmj0PFp3,parking_record_index_v2,101a0d0101e4,2017-08-10T08:59:33.682Z,2017-08-10T08:59:33.000Z,4232,fcffff070bfeaaff1e0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-85.0,23.8,1502355573.0,0.682,-501,-86,286,583.2606621400075,34,2017-08-10 16:59:33,0.7857142857142776,14.547619047619051,10.285714285714278,17.833857834489173
4067,4067,AV3LXu50-R03vmj0PFqY,parking_record_index_v2,101a0d0101e4,2017-08-10T08:59:42.580Z,2017-08-10T08:59:42.000Z,4235,fcffff070cfea4ff1e0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-85.0,28.8,1502355582.0,0.58,-500,-92,286,583.3180950390619,34,2017-08-10 16:59:42,1.7857142857142776,8.547619047619051,10.285714285714278,13.492460311624816
4068,4068,AV3LXzUJ-R03vmj0PFrR,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:00.648Z,2017-08-10T09:00:00.000Z,4241,fcffff070cfea3ff200122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-89.0,32.0,1502355600.0,0.648,-500,-93,288,584.4595794406998,34,2017-08-10 17:00:00,1.7857142857142776,7.547619047619051,12.285714285714278,14.529077889129434
4069,4069,AV3LYH0G-R03vmj0PFwn,parking_record_index_v2,101a0d0101e4,2017-08-10T09:01:24.613Z,2017-08-10T09:00:01.000Z,4269,fcffff070bfea9ff240122,yilan,宜蘭市中山路二段,1016,192.168.0.225,-117.2,-10.2,1502355601.0,83.613,-501,-87,292,586.3736010428846,34,2017-08-10 17:00:01,0.7857142857142776,13.547619047619051,16.285714285714278,21.198580579701655
4070,4070,AV3LX0Dv-R03vmj0PFrh,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:03.694Z,2017-08-10T09:00:03.000Z,4242,fcffff070cfea4ff1f0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-84.0,25.0,1502355603.0,0.6940000000000001,-500,-92,287,583.8090441231618,34,2017-08-10 17:00:03,1.7857142857142776,8.547619047619051,11.285714285714278,14.269474896862862
4071,4071,AV3LX0xs-R03vmj0PFro,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:06.635Z,2017-08-10T09:00:06.000Z,4243,fcffff070afea4ff1f0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-83.0,24.5,1502355606.0,0.635,-502,-92,287,585.5228432776983,34,2017-08-10 17:00:06,-0.2142857142857224,8.547619047619051,11.285714285714278,14.158921452191981
4072,4072,AV3LX29t-R03vmj0PFsF,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:15.597Z,2017-08-10T09:00:15.000Z,4246,fcffff070cfeaaff1f0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-91.0,30.0,1502355615.0,0.597,-500,-86,287,582.8936438150616,34,2017-08-10 17:00:15,1.7857142857142776,14.547619047619051,11.285714285714278,18.498360532858797
4073,4073,AV3LX5Kb-R03vmj0PFss,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:24.602Z,2017-08-10T09:00:24.000Z,4249,fcffff070bfea7ff240122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-87.0,28.8,1502355624.0,0.602,-501,-89,292,586.6736742005729,34,2017-08-10 17:00:24,0.7857142857142776,11.547619047619051,16.285714285714278,19.979723281457826
4074,4074,AV3LX7Wy-R03vmj0PFtW,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:33.586Z,2017-08-10T09:00:33.000Z,4252,fcffff070cfea3ff210122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-117.0,23.0,1502355633.0,0.586,-500,-93,289,584.9529895641188,34,2017-08-10 17:00:33,1.7857142857142776,7.547619047619051,13.285714285714278,15.383937495966967
4075,4075,AV3LX8HJ-R03vmj0PFtn,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:36.680Z,2017-08-10T09:00:36.000Z,4253,fcffff070cfea5ff1f0122,yilan,宜蘭市中山路二段,1016,192.168.88.113,-83.8,-2.8,1502355636.0,0.68,-500,-91,287,583.6522937503116,34,2017-08-10 17:00:36,1.7857142857142776,9.547619047619051,11.285714285714278,14.890035323243444
4078,4078,AV3LX83P-R03vmj0PFtx,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:39.758Z,2017-08-10T09:00:39.000Z,4254,fcffff070cfea7ff1d0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-88.0,25.5,1502355639.0,0.758,-500,-89,285,582.3624301068879,34,2017-08-10 17:00:39,1.7857142857142776,11.547619047619051,9.285714285714278,14.92517239347863
4079,4079,AV3LX9lW-R03vmj0PFt4,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:42.709Z,2017-08-10T09:00:42.000Z,4255,fcffff070cfea9ff1f0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-81.0,28.8,1502355642.0,0.7090000000000001,-500,-87,287,583.0420224992362,34,2017-08-10 17:00:42,1.7857142857142776,13.547619047619051,11.285714285714278,17.72270025443047
4080,4080,AV3LX-Tk-R03vmj0PFuF,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:45.667Z,2017-08-10T09:00:45.000Z,4256,fcffff070cfeaaff200122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-82.0,28.8,1502355645.0,0.667,-500,-86,288,583.3866642287943,34,2017-08-10 17:00:45,1.7857142857142776,14.547619047619051,12.285714285714278,19.12487309696607
4081,4081,AV3LX_Bc-R03vmj0PFuW,parking_record_index_v2,101a0d0101e4,2017-08-10T09:00:48.603Z,2017-08-10T09:00:48.000Z,4257,fcffff070cfeaaff1f0122,yilan,宜蘭市中山路二段,1016,10.5.151.1,-82.0,29.5,1502355648.0,0.603,-500,-86,287,582.8936438150616,34,2017-08-10 17:00:48,1.7857142857142776,14.547619047619051,11.285714285714278,18.498360532858797
