,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
3700,3700,AV3LWo-u-R03vmj0PFae,parking_record_index_v2,101a0d010119,2017-08-10T08:54:56.174Z,2017-08-10T08:54:55.000Z,3265,fcffff0705ff35006aff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,23.0,1502355295.0,1.1740000000000002,-251,53,-150,297.16998502540594,38,2017-08-10 16:54:55,2.6956521739130324,4.608695652173914,-1.4782608695652186,5.540024499546596
3701,3701,AV3LWqca-R03vmj0PFa7,parking_record_index_v2,101a0d010119,2017-08-10T08:55:02.169Z,2017-08-10T08:55:01.000Z,3267,fcffff0702ff35006bff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,29.5,1502355301.0,1.169,-254,53,-149,299.2089570851782,38,2017-08-10 16:55:01,-0.30434782608696764,4.608695652173914,-0.4782608695652186,4.643429408634084
3702,3702,AV3LWr8V-R03vmj0PFbP,parking_record_index_v2,101a0d010119,2017-08-10T08:55:08.308Z,2017-08-10T08:55:07.000Z,3269,fcffff07fdfe3b006fff26,yilan,宜蘭市中山路二段,1010,10.5.180.50,-84.0,29.5,1502355307.0,1.308,-259,59,-145,302.6334416418648,38,2017-08-10 16:55:07,-5.304347826086968,10.608695652173914,3.5217391304347814,12.372678602606744
3703,3703,AV3LWssF-R03vmj0PFbg,parking_record_index_v2,101a0d010119,2017-08-10T08:55:11.364Z,2017-08-10T08:55:10.000Z,3270,fcffff07fffe3c006fff25,yilan,宜蘭市中山路二段,1010,10.5.181.21,-133.8,-12.8,1502355310.0,1.364,-257,60,-145,301.1212380420883,37,2017-08-10 16:55:10,-3.3043478260869676,11.608695652173914,3.5217391304347814,12.573113210474276
3707,3707,AV3LWuGI-R03vmj0PFb-,parking_record_index_v2,101a0d010119,2017-08-10T08:55:17.127Z,2017-08-10T08:55:16.000Z,3272,fcffff07fffe3c006cff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-77.0,31.2,1502355316.0,1.127,-257,60,-148,302.57726286024865,38,2017-08-10 16:55:16,-3.3043478260869676,11.608695652173914,0.5217391304347814,12.081090224842873
3708,3708,AV3LWu2M-R03vmj0PFcL,parking_record_index_v2,101a0d010119,2017-08-10T08:55:20.204Z,2017-08-10T08:55:19.000Z,3273,fcffff0700ff3c006eff26,yilan,宜蘭市中山路二段,1010,10.5.180.50,-135.0,-15.0,1502355319.0,1.204,-256,60,-146,300.7523898491914,38,2017-08-10 16:55:19,-2.3043478260869676,11.608695652173914,2.5217391304347814,12.100867815589064
3709,3709,AV3LWvjq-R03vmj0PFcU,parking_record_index_v2,101a0d010119,2017-08-10T08:55:23.113Z,2017-08-10T08:55:22.000Z,3274,fcffff07fffe3d006dff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-78.0,-1.0,1502355322.0,1.113,-257,61,-147,302.2895962483658,38,2017-08-10 16:55:22,-3.3043478260869676,12.608695652173914,1.5217391304347814,13.123018348916968
3710,3710,AV3LWwTJ-R03vmj0PFch,parking_record_index_v2,101a0d010119,2017-08-10T08:55:26.152Z,2017-08-10T08:55:25.000Z,3275,fcffff07fffe3b006fff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,28.0,1502355325.0,1.152,-257,59,-145,300.92357833842135,38,2017-08-10 16:55:25,-3.3043478260869676,10.608695652173914,3.5217391304347814,11.65614792712648
3711,3711,AV3LWxC0-R03vmj0PFcr,parking_record_index_v2,101a0d010119,2017-08-10T08:55:29.203Z,2017-08-10T08:55:28.000Z,3276,fcffff07fffe390070ff26,yilan,宜蘭市中山路二段,1010,10.5.180.50,-136.0,-16.0,1502355328.0,1.203,-257,57,-144,300.0566613158255,38,2017-08-10 16:55:28,-3.3043478260869676,8.608695652173914,4.521739130434781,10.27007693015144
3712,3712,AV3LWygX-R03vmj0PFdA,parking_record_index_v2,101a0d010119,2017-08-10T08:55:35.191Z,2017-08-10T08:55:34.000Z,3277,fcffff0700ff360070ff25,yilan,宜蘭市中山路二段,1010,10.5.180.50,-88.0,22.0,1502355334.0,1.1909999999999998,-256,54,-144,298.64360029975535,37,2017-08-10 16:55:34,-2.3043478260869676,5.608695652173914,4.521739130434781,7.563967912809479
3714,3714,AV3LWzPy-R03vmj0PFdO,parking_record_index_v2,101a0d010119,2017-08-10T08:55:38.225Z,2017-08-10T08:55:37.000Z,3278,fcffff07fffe35006fff26,yilan,宜蘭市中山路二段,1010,10.5.181.21,-136.0,-13.0,1502355337.0,1.225,-257,53,-145,299.8049365837728,38,2017-08-10 16:55:37,-3.3043478260869676,4.608695652173914,3.5217391304347814,6.675435317113629
3717,3717,AV3LXJet-R03vmj0PFiV,parking_record_index_v2,101a0d010119,2017-08-10T08:57:09.292Z,2017-08-10T08:55:44.000Z,3295,fcffff07fffe3c006aff26,yilan,宜蘭市中山路二段,1010,192.168.0.225,-103.5,-1.5,1502355344.0,85.292,-257,60,-150,303.56053761976375,38,2017-08-10 16:55:44,-3.3043478260869676,11.608695652173914,-1.4782608695652186,12.160007586307458
3718,3718,AV3LW2KP-R03vmj0PFeD,parking_record_index_v2,101a0d010119,2017-08-10T08:55:50.158Z,2017-08-10T08:55:49.000Z,3280,fcffff0700ff3a006bff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-79.0,32.5,1502355349.0,1.158,-256,58,-149,301.8294220250902,38,2017-08-10 16:55:49,-2.3043478260869676,9.608695652173914,-0.4782608695652186,9.892713707525095
3719,3719,AV3LW5FU-R03vmj0PFeo,parking_record_index_v2,101a0d010119,2017-08-10T08:56:02.131Z,2017-08-10T08:56:01.000Z,3282,fcffff0700ff390072ff25,yilan,宜蘭市中山路二段,1010,10.5.151.1,-75.0,24.5,1502355361.0,1.131,-256,57,-142,298.243189360629,37,2017-08-10 16:56:01,-2.3043478260869676,8.608695652173914,6.521739130434781,11.043221496501554
3720,3720,AV3LW5zr-R03vmj0PFey,parking_record_index_v2,101a0d010119,2017-08-10T08:56:05.099Z,2017-08-10T08:56:04.000Z,3283,fcffff07fffe380070ff26,yilan,宜蘭市中山路二段,1010,10.5.151.1,-76.0,29.5,1502355364.0,1.099,-257,56,-144,299.8683044271268,38,2017-08-10 16:56:04,-3.3043478260869676,7.608695652173914,4.521739130434781,9.447596987958418
