,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
4680,4018,AV3LPVaF-R03vmj0PDbI,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:00.996Z,2017-08-10T08:23:00.000Z,2912,fcffff0708fff9ff63ff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,29.5,1502353380.0,0.996,-248,-7,-157,293.6017711118242,39,2017-08-10 16:23:00,49.30158730158729,13.19047619047619,-23.396825396825392,56.14309050308049
4681,4019,AV3LPW_D-R03vmj0PDbn,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:07.458Z,2017-08-10T08:23:06.000Z,2913,fcffff0709fff9ff61ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-87.0,23.8,1502353386.0,1.4580000000000002,-247,-7,-159,293.8349877056849,39,2017-08-10 16:23:06,50.30158730158729,13.19047619047619,-25.396825396825392,57.872593577854815
4683,4021,AV3LPXrw-R03vmj0PDb1,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:10.319Z,2017-08-10T08:23:09.000Z,2914,fcffff070afff9ff5dff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-134.8,-13.8,1502353389.0,1.319,-246,-7,-163,295.18468794976485,39,2017-08-10 16:23:09,51.30158730158729,13.19047619047619,-29.396825396825392,60.580647612957556
4685,4023,AV3LPZIC-R03vmj0PDcL,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:16.225Z,2017-08-10T08:23:15.000Z,2915,fcffff070afff4ff5cff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-67.0,28.8,1502353395.0,1.225,-246,-12,-164,295.89863129119067,39,2017-08-10 16:23:15,51.30158730158729,8.19047619047619,-30.396825396825392,60.190562001814115
4686,4024,AV3LPtlh-R03vmj0PDhY,parking_record_index_v2,101a0d0100cc,2017-08-10T08:24:40.032Z,2017-08-10T08:23:16.000Z,2934,fcffff070afff6ff63ff27,yilan,宜蘭市中山路二段,1002,192.168.0.225,-110.0,-7.0,1502353396.0,84.03200000000002,-246,-10,-157,292.0017123237465,39,2017-08-10 16:23:16,51.30158730158729,10.19047619047619,-23.396825396825392,57.29843019926967
4687,4025,AV3LPZzk-R03vmj0PDcW,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:19.011Z,2017-08-10T08:23:18.000Z,2916,fcffff0709fff4ff5cff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-75.0,30.0,1502353398.0,1.011,-247,-12,-164,296.7305174733465,39,2017-08-10 16:23:18,50.30158730158729,8.19047619047619,-30.396825396825392,59.34054751593597
4688,4026,AV3LPbSy-R03vmj0PDc1,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:25.105Z,2017-08-10T08:23:24.000Z,2917,fcffff0709fff3ff5dff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-131.5,-13.5,1502353404.0,1.105,-247,-13,-163,296.2212011318568,39,2017-08-10 16:23:24,50.30158730158729,7.19047619047619,-29.396825396825392,58.703713479782955
4690,4028,AV3LPcvp-R03vmj0PDdJ,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:31.049Z,2017-08-10T08:23:30.000Z,2918,fcffff070cfff6ff5cff27,yilan,宜蘭市中山路二段,1002,192.168.88.113,-81.0,15.8,1502353410.0,1.0490000000000002,-244,-10,-164,294.16321999869393,39,2017-08-10 16:23:30,53.30158730158729,10.19047619047619,-30.396825396825392,62.200257299005465
4693,4031,AV3LPdfj-R03vmj0PDdV,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:34.114Z,2017-08-10T08:23:33.000Z,2919,fcffff070bfff6ff60ff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,28.8,1502353413.0,1.114,-245,-10,-160,292.788319439147,39,2017-08-10 16:23:33,52.30158730158729,10.19047619047619,-26.396825396825392,59.46506731085659
4694,4032,AV3LPeNt-R03vmj0PDdg,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:37.068Z,2017-08-10T08:23:36.000Z,2920,fcffff070afff7ff63ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-131.3,-11.3,1502353416.0,1.068,-246,-9,-157,291.9691764553238,39,2017-08-10 16:23:36,51.30158730158729,11.19047619047619,-23.396825396825392,57.48470279719232
4696,4034,AV3LPftP-R03vmj0PDd6,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:43.182Z,2017-08-10T08:23:42.000Z,2921,fcffff070afff0ff61ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-82.0,23.3,1502353422.0,1.182,-246,-16,-159,293.3479163041728,39,2017-08-10 16:23:42,51.30158730158729,4.19047619047619,-25.396825396825392,57.39696586582052
4698,4036,AV3LPgfv-R03vmj0PDeG,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:46.414Z,2017-08-10T08:23:45.000Z,2922,fcffff070bfff1ff5fff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-135.8,-15.8,1502353425.0,1.414,-245,-15,-161,293.54897376758106,39,2017-08-10 16:23:45,52.30158730158729,5.19047619047619,-27.396825396825392,59.27042364597704
4699,4037,AV3LPh5i-R03vmj0PDea,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:52.161Z,2017-08-10T08:23:51.000Z,2923,fcffff070cfff6ff5eff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-70.0,28.8,1502353431.0,1.161,-244,-10,-162,293.0528962491243,39,2017-08-10 16:23:51,53.30158730158729,10.19047619047619,-28.396825396825392,61.24773225577565
4700,4038,AV3LPim5-R03vmj0PDeo,parking_record_index_v2,101a0d0100cc,2017-08-10T08:23:55.065Z,2017-08-10T08:23:54.000Z,2924,fcffff070afff8ff64ff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-87.0,29.5,1502353434.0,1.065,-246,-8,-156,291.4035003221478,39,2017-08-10 16:23:54,51.30158730158729,12.19047619047619,-22.396825396825392,57.28942622569048
4702,4040,AV3LPk6q-R03vmj0PDfL,parking_record_index_v2,101a0d0100cc,2017-08-10T08:24:04.522Z,2017-08-10T08:24:03.000Z,2926,fcffff070bfff1ff5eff27,yilan,宜蘭市中山路二段,1002,10.5.181.21,-137.3,-15.3,1502353443.0,1.5219999999999998,-245,-15,-162,294.098622914151,39,2017-08-10 16:24:03,52.30158730158729,5.19047619047619,-28.396825396825392,59.73923978397486
4706,4044,AV3LPljI-R03vmj0PDfT,parking_record_index_v2,101a0d0100cc,2017-08-10T08:24:07.111Z,2017-08-10T08:24:06.000Z,2927,fcffff070bfff2ff5aff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-69.0,30.0,1502353446.0,1.111,-245,-14,-166,296.2718346383942,39,2017-08-10 16:24:06,52.30158730158729,6.19047619047619,-32.39682539682539,61.833100565334746
4707,4045,AV3LPmSG-R03vmj0PDfd,parking_record_index_v2,101a0d0100cc,2017-08-10T08:24:10.118Z,2017-08-10T08:24:09.000Z,2928,fcffff070cfff2ff5dff27,yilan,宜蘭市中山路二段,1002,10.5.151.1,-67.0,25.5,1502353449.0,1.118,-244,-14,-163,293.7703184462311,39,2017-08-10 16:24:09,53.30158730158729,6.19047619047619,-29.396825396825392,61.184594039227086
4708,4046,AV3LPnxl-R03vmj0PDf2,parking_record_index_v2,101a0d0100cc,2017-08-10T08:24:16.228Z,2017-08-10T08:24:15.000Z,2929,fcffff070cfff2ff5eff27,yilan,宜蘭市中山路二段,1002,10.5.180.50,-84.0,22.0,1502353455.0,1.228,-244,-14,-162,293.21664345667693,39,2017-08-10 16:24:15,53.30158730158729,6.19047619047619,-28.396825396825392,60.710467770816685
