,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
5579,4917,AV3LYPO6-R03vmj0PFyO,parking_record_index_v2,101a0d0100cc,2017-08-10T09:01:55.001Z,2017-08-10T09:01:54.000Z,3490,fcffff0701ff0f006bff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,30.0,1502355714.0,1.001,-255,15,-149,295.7211524392532,36,2017-08-10 17:01:54,-5.418181818181807,14.327272727272728,13.0,20.090481278867582
5580,4918,AV3LYQsn-R03vmj0PFye,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:00.999Z,2017-08-10T09:02:00.000Z,3491,fcffff0701ff10006aff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-71.0,30.0,1502355720.0,0.999,-255,16,-150,296.27858511880333,36,2017-08-10 17:02:00,-5.418181818181807,15.327272727272728,12.0,20.205988802111968
5581,4919,AV3LYSOC-R03vmj0PFyz,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:07.233Z,2017-08-10T09:02:06.000Z,3492,fcffff0701ff0f006aff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,23.8,1502355726.0,1.233,-255,15,-150,296.2262648719725,36,2017-08-10 17:02:06,-5.418181818181807,14.327272727272728,12.0,19.458351369438493
5582,4920,AV3LYS7C-R03vmj0PFzD,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:10.113Z,2017-08-10T09:02:09.000Z,3493,fcffff0701ff0f006aff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-72.0,30.0,1502355729.0,1.113,-255,15,-150,296.2262648719725,36,2017-08-10 17:02:09,-5.418181818181807,14.327272727272728,12.0,19.458351369438493
5583,4921,AV3LYoKq-R03vmj0PF31,parking_record_index_v2,101a0d0100cc,2017-08-10T09:03:37.129Z,2017-08-10T09:02:13.000Z,3510,fcffff07fefe0c006fff24,yilan,宜蘭市中山路二段,1002,192.168.0.225,-109.0,2.0,1502355733.0,84.12899999999998,-258,12,-145,296.1975692000189,36,2017-08-10 17:02:13,-8.418181818181807,11.327272727272728,17.0,22.09463492710353
5584,4922,AV3LYUai-R03vmj0PFzY,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:16.225Z,2017-08-10T09:02:15.000Z,3494,fcffff0700ff0f006cff24,yilan,宜蘭市中山路二段,1002,10.5.181.21,-136.0,-15.0,1502355735.0,1.225,-256,15,-148,296.0827587010092,36,2017-08-10 17:02:15,-6.418181818181807,14.327272727272728,14.0,21.034823546987326
5588,4926,AV3LYYDL-R03vmj0PF0E,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:31.114Z,2017-08-10T09:02:30.000Z,3497,fcffff07fffe0b006aff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-71.0,22.0,1502355750.0,1.114,-257,11,-150,297.77508290654544,36,2017-08-10 17:02:30,-7.418181818181807,10.327272727272728,12.0,17.483763424133667
5589,4927,AV3LYccA-R03vmj0PF1F,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:49.087Z,2017-08-10T09:02:48.000Z,3500,fcffff07fefe0f006eff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-77.0,31.2,1502355768.0,1.087,-258,15,-146,296.8248641876216,36,2017-08-10 17:02:48,-8.418181818181807,14.327272727272728,16.0,23.068084639293737
5590,4928,AV3LYd5u-R03vmj0PF1i,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:55.086Z,2017-08-10T09:02:54.000Z,3501,fcffff0700ff0b0069ff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-72.0,27.0,1502355774.0,1.086,-256,11,-151,297.4188965079388,36,2017-08-10 17:02:54,-6.418181818181807,10.327272727272728,11.0,16.396512429010954
5591,4929,AV3LYep4-R03vmj0PF1x,parking_record_index_v2,101a0d0100cc,2017-08-10T09:02:58.167Z,2017-08-10T09:02:57.000Z,3502,fcffff0700ff100068ff24,yilan,宜蘭市中山路二段,1002,10.5.181.21,-137.3,-14.3,1502355777.0,1.167,-256,16,-152,298.15432245734763,36,2017-08-10 17:02:57,-6.418181818181807,15.327272727272728,10.0,19.393770832600808
5595,4933,AV3LYfXw-R03vmj0PF14,parking_record_index_v2,101a0d0100cc,2017-08-10T09:03:01.103Z,2017-08-10T09:03:00.000Z,3503,fcffff07fffe10006eff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-76.0,26.2,1502355780.0,1.103,-257,16,-146,296.0084458254528,36,2017-08-10 17:03:00,-7.418181818181807,15.327272727272728,16.0,23.365673770379523
5596,4934,AV3LYz23-R03vmj0PF6U,parking_record_index_v2,101a0d0100cc,2017-08-10T09:04:25.014Z,2017-08-10T09:03:01.000Z,3518,fcffff0701ff0c0065ff24,yilan,宜蘭市中山路二段,1002,192.168.0.225,-94.0,12.5,1502355781.0,84.014,-255,12,-155,298.65364554948934,36,2017-08-10 17:03:01,-5.418181818181807,11.327272727272728,7.0,14.375806121845565
5597,4935,AV3LYg0M-R03vmj0PF2M,parking_record_index_v2,101a0d0100cc,2017-08-10T09:03:07.019Z,2017-08-10T09:03:06.000Z,3504,fcffff07fffe0a0069ff24,yilan,宜蘭市中山路二段,1002,10.5.151.1,-73.0,33.0,1502355786.0,1.019,-257,10,-151,298.2448658401348,36,2017-08-10 17:03:06,-7.418181818181807,9.327272727272728,11.0,16.218120668453814
