,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
9785,4785,AV3LWE5F-R03vmj0PFSO,parking_record_index_v2,101a0d0100c0,2017-08-10T08:52:28.356Z,2017-08-10T08:52:27.000Z,3149,fcffff07b9ff6f0008ff24,yilan,宜蘭市中山路二段,1015,10.5.180.50,-109.3,-7.3,1502355147.0,1.356,-71,111,-248,280.8309099796531,36,2017-08-10 16:52:27,101.2093023255814,27.558139534883722,-5.906976744186039,105.06029842957525
9787,4787,AV3LWGYO-R03vmj0PFSl,parking_record_index_v2,101a0d0100c0,2017-08-10T08:52:34.446Z,2017-08-10T08:52:33.000Z,3150,fcffff07b9ff740002ff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-89.0,17.0,1502355153.0,1.446,-71,116,-254,288.119766763754,36,2017-08-10 16:52:33,101.2093023255814,32.55813953488372,-11.90697674418604,106.98192100719861
9790,4790,AV3LWHwH-R03vmj0PFS3,parking_record_index_v2,101a0d0100c0,2017-08-10T08:52:40.070Z,2017-08-10T08:52:39.000Z,3151,fcffff07baff770002ff24,yilan,宜蘭市中山路二段,1015,192.168.88.113,-89.0,11.3,1502355159.0,1.07,-70,119,-254,289.09686957834737,36,2017-08-10 16:52:39,102.2093023255814,35.55813953488372,-11.90697674418604,108.87101939566355
9793,4793,AV3LWJaI-R03vmj0PFTG,parking_record_index_v2,101a0d0100c0,2017-08-10T08:52:46.855Z,2017-08-10T08:52:45.000Z,3152,fcffff07baff770006ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-87.0,28.0,1502355165.0,1.855,-70,119,-250,285.5888653291651,36,2017-08-10 16:52:45,102.2093023255814,35.55813953488372,-7.906976744186039,108.5064193967226
9794,4794,AV3LWKoH-R03vmj0PFTZ,parking_record_index_v2,101a0d0100c0,2017-08-10T08:52:51.847Z,2017-08-10T08:52:51.000Z,3153,fcffff07baff730009ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-83.0,24.5,1502355171.0,0.847,-70,115,-247,281.30766075597734,36,2017-08-10 16:52:51,102.2093023255814,31.558139534883722,-4.906976744186039,107.08284677553765
9795,4795,AV3LWMGa-R03vmj0PFTr,parking_record_index_v2,101a0d0100c0,2017-08-10T08:52:57.881Z,2017-08-10T08:52:57.000Z,3154,fcffff07baff70000aff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-85.0,24.5,1502355177.0,0.8809999999999999,-70,112,-246,279.2131802046601,36,2017-08-10 16:52:57,102.2093023255814,28.558139534883722,-3.9069767441860392,106.19591933240937
9796,4796,AV3LWM1V-R03vmj0PFTz,parking_record_index_v2,101a0d0100c0,2017-08-10T08:53:00.884Z,2017-08-10T08:53:00.000Z,3155,fcffff07b9ff6f000aff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-91.0,26.2,1502355180.0,0.884,-71,111,-246,279.06630036606003,36,2017-08-10 16:53:00,101.2093023255814,27.558139534883722,-3.9069767441860392,104.96684428492013
9797,4797,AV3LWiF5-R03vmj0PFYs,parking_record_index_v2,101a0d0100c0,2017-08-10T08:54:27.960Z,2017-08-10T08:53:04.000Z,3175,fcffff07baff71000cff23,yilan,宜蘭市中山路二段,1015,192.168.0.225,-111.8,-5.8,1502355184.0,83.96,-70,113,-244,277.8578773401971,35,2017-08-10 16:53:04,102.2093023255814,29.558139534883722,-1.9069767441860392,106.41457444799853
9798,4798,AV3LWOTF-R03vmj0PFUK,parking_record_index_v2,101a0d0100c0,2017-08-10T08:53:06.884Z,2017-08-10T08:53:06.000Z,3156,fcffff07b9ff6f0007ff24,yilan,宜蘭市中山路二段,1015,10.5.151.1,-86.0,28.8,1502355186.0,0.884,-71,111,-249,281.71439437842014,36,2017-08-10 16:53:06,101.2093023255814,27.558139534883722,-6.906976744186039,105.12126454528497
9799,4799,AV3LWPDT-R03vmj0PFUT,parking_record_index_v2,101a0d0100c0,2017-08-10T08:53:09.971Z,2017-08-10T08:53:09.000Z,3157,fcffff07baff720008ff24,yilan,宜蘭市中山路二段,1015,10.5.180.50,-105.0,-4.0,1502355189.0,0.971,-70,114,-248,281.7800560721074,36,2017-08-10 16:53:09,102.2093023255814,30.558139534883722,-5.906976744186039,106.8430332215062
