,Unnamed: 0,_id,_index,mac,create_at_time,recv_at_time,frameCnt,data,company,road,slot_num,gwip,rssi,snr,timestamp,latency_time,magX,magY,magZ,mag_len,magT,count,magX_of,magY_of,magZ_of,magLen_of
2604,2604,AV3LB70u-R03vmj0O_R4,parking_record_index_v2,101a0d0100e4,2017-08-10T07:24:28.334Z,2017-08-10T07:24:27.000Z,2392,fcffff07f7fef40072ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-75.0,24.5,1502349867.0,1.334,-265,244,-142,387.20149793098676,39,2017-08-10 15:24:27,-4.424242424242436,-15.015151515151501,23.454545454545467,28.198304887541777
2605,2605,AV3LB9Uf-R03vmj0O_Sh,parking_record_index_v2,101a0d0100e4,2017-08-10T07:24:34.462Z,2017-08-10T07:24:33.000Z,2394,fcffff07f7fef20078ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,25.5,1502349873.0,1.462,-265,242,-136,383.7772791607132,40,2017-08-10 15:24:33,-4.424242424242436,-17.0151515151515,29.454545454545467,34.302471485971886
2606,2606,AV3LB9_R-R03vmj0O_Su,parking_record_index_v2,101a0d0100e4,2017-08-10T07:24:37.201Z,2017-08-10T07:24:36.000Z,2395,fcffff07f8fef00072ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,27.5,1502349876.0,1.2009999999999998,-264,240,-142,384.00520829801246,40,2017-08-10 15:24:36,-3.4242424242424363,-19.0151515151515,23.454545454545467,30.387779218025948
2607,2607,AV3LB-xD-R03vmj0O_S_,parking_record_index_v2,101a0d0100e4,2017-08-10T07:24:40.386Z,2017-08-10T07:24:39.000Z,2396,fcffff07f8fef40071ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-75.0,30.0,1502349879.0,1.386,-264,244,-143,386.88628820365295,40,2017-08-10 15:24:39,-3.4242424242424363,-15.015151515151501,22.454545454545467,27.228419395425558
2608,2608,AV3LCUuY-R03vmj0O_bc,parking_record_index_v2,101a0d0100e4,2017-08-10T07:26:10.327Z,2017-08-10T07:24:46.000Z,2417,fcffff07f8fef60072ff28,yilan,宜蘭市中山路二段,1014,192.168.0.225,-103.0,-7.0,1502349886.0,84.32700000000001,-264,246,-142,387.7834447214064,40,2017-08-10 15:24:46,-3.4242424242424363,-13.015151515151501,23.454545454545467,27.041362902443947
2609,2609,AV3LCBtk-R03vmj0O_UK,parking_record_index_v2,101a0d0100e4,2017-08-10T07:24:52.451Z,2017-08-10T07:24:51.000Z,2400,fcffff07f7feef0074ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-75.0,29.5,1502349891.0,1.4509999999999998,-265,239,-140,383.33536231347085,40,2017-08-10 15:24:51,-4.424242424242436,-20.0151515151515,25.454545454545467,32.682014862925136
2610,2610,AV3LCDJe-R03vmj0O_Ur,parking_record_index_v2,101a0d0100e4,2017-08-10T07:24:58.333Z,2017-08-10T07:24:57.000Z,2402,fcffff07f7fef00072ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-82.0,22.5,1502349897.0,1.3330000000000002,-265,240,-142,384.6933843985363,40,2017-08-10 15:24:57,-4.424242424242436,-19.0151515151515,23.454545454545467,30.51664481315032
2611,2611,AV3LCFU1-R03vmj0O_Vh,parking_record_index_v2,101a0d0100e4,2017-08-10T07:25:07.253Z,2017-08-10T07:25:06.000Z,2404,fcffff07f9feee0075ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,28.8,1502349906.0,1.253,-263,238,-139,380.9645652813395,39,2017-08-10 15:25:06,-2.4242424242424363,-21.0151515151515,26.454545454545467,33.872651501512
2613,2613,AV3LCGyX-R03vmj0O_WK,parking_record_index_v2,101a0d0100e4,2017-08-10T07:25:13.238Z,2017-08-10T07:25:12.000Z,2405,fcffff07f8feee0075ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-78.0,30.0,1502349912.0,1.238,-264,238,-139,381.6556039153624,39,2017-08-10 15:25:12,-3.4242424242424363,-21.0151515151515,26.454545454545467,33.95887225146572
2614,2614,AV3LCI-P-R03vmj0O_W2,parking_record_index_v2,101a0d0100e4,2017-08-10T07:25:22.190Z,2017-08-10T07:25:21.000Z,2407,fcffff07f7fef00075ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,25.5,1502349921.0,1.19,-265,240,-139,383.5961417949873,39,2017-08-10 15:25:21,-4.424242424242436,-19.0151515151515,26.454545454545467,32.87845621952538
2615,2615,AV3LCKcf-R03vmj0O_XT,parking_record_index_v2,101a0d0100e4,2017-08-10T07:25:28.222Z,2017-08-10T07:25:27.000Z,2408,fcffff07f7fef10078ff27,yilan,宜蘭市中山路二段,1014,10.5.151.1,-77.0,26.2,1502349927.0,1.222,-265,241,-136,383.1474911832257,39,2017-08-10 15:25:27,-4.424242424242436,-18.0151515151515,29.454545454545467,34.80933571725001
2616,2616,AV3LCL9F-R03vmj0O_X6,parking_record_index_v2,101a0d0100e4,2017-08-10T07:25:34.404Z,2017-08-10T07:25:33.000Z,2409,fcffff07f7fef50078ff27,yilan,宜蘭市中山路二段,1014,192.168.88.113,-76.0,18.8,1502349933.0,1.404,-265,245,-136,385.6760298488875,39,2017-08-10 15:25:33,-4.424242424242436,-14.015151515151501,29.454545454545467,32.917603815511924
2619,2619,AV3LCNXl-R03vmj0O_Ya,parking_record_index_v2,101a0d0100e4,2017-08-10T07:25:40.196Z,2017-08-10T07:25:39.000Z,2410,fcffff07f7fef60076ff28,yilan,宜蘭市中山路二段,1014,10.5.151.1,-76.0,25.0,1502349939.0,1.196,-265,246,-138,387.02067128255567,40,2017-08-10 15:25:39,-4.424242424242436,-13.015151515151501,27.454545454545467,30.70374824197398
